Club,Year,Player,Player ID,Team ID,Appearances
arsenal,1998,Alberto Mendez,6168,arsenal_1998,1
arsenal,1998,Marc Overmars,15,arsenal_1998,32
arsenal,1998,Ray Parlour,25,arsenal_1998,34
arsenal,1998,Emmanuel Petit,8,arsenal_1998,32
arsenal,1998,David Platt,4061,arsenal_1998,11
arsenal,1998,Isaiah Rankin,77,arsenal_1998,0
arsenal,1998,David Seaman,5,arsenal_1998,31
arsenal,1998,Matthew Upson,17,arsenal_1998,5
arsenal,1998,Paolo Vernazza,24,arsenal_1998,1
arsenal,1998,Patrick Vieira,23,arsenal_1998,31
arsenal,1998,Nigel Winterburn,20,arsenal_1998,35
arsenal,1998,Christopher Wreh,4,arsenal_1998,7
arsenal,1998,Ian Wright,2700,arsenal_1998,22
arsenal,1999,Tony Adams,31,arsenal_1999,26
arsenal,1999,Nicolas Anelka,7061,arsenal_1999,34
arsenal,1999,Dennis Bergkamp,7,arsenal_1999,28
arsenal,1999,Luis Boa Morte,440,arsenal_1999,2
arsenal,1999,Steve Bould,484,arsenal_1999,14
arsenal,1999,Fabian Caballero,6450,arsenal_1999,0
arsenal,1999,Kaba Diawara,6358,arsenal_1999,2
arsenal,1999,Lee Dixon,14,arsenal_1999,36
arsenal,1999,Rémi Garde,22759,arsenal_1999,6
arsenal,1999,Gilles Grimandi,10,arsenal_1999,3
arsenal,1999,David Grondin,3826,arsenal_1999,1
arsenal,1999,Stephen Hughes,2319,arsenal_1999,4
arsenal,1999,Nwankwo Kanu,21,arsenal_1999,5
arsenal,1999,Martin Keown,16,arsenal_1999,34
arsenal,1999,Freddie Ljungberg,9,arsenal_1999,10
arsenal,1999,Alex Manninger,1,arsenal_1999,6
arsenal,1999,Alberto Mendez,6168,arsenal_1999,0
arsenal,1999,Marc Overmars,15,arsenal_1999,37
arsenal,1999,Ray Parlour,25,arsenal_1999,35
arsenal,1999,Emmanuel Petit,8,arsenal_1999,26
arsenal,1999,David Seaman,5,arsenal_1999,32
arsenal,1999,Matthew Upson,17,arsenal_1999,0
arsenal,1999,Patrick Vieira,23,arsenal_1999,34
arsenal,1999,Nelson Vivas,18,arsenal_1999,10
arsenal,1999,Nigel Winterburn,20,arsenal_1999,30
arsenal,1999,Christopher Wreh,4,arsenal_1999,3
arsenal,2000,Tony Adams,31,arsenal_2000,21
arsenal,2000,Graham Barrett,11,arsenal_2000,0
arsenal,2000,Dennis Bergkamp,7,arsenal_2000,23
arsenal,2000,Tommy Black,30,arsenal_2000,0
arsenal,2000,Luis Boa Morte,440,arsenal_2000,0
arsenal,2000,Ashley Cole,2,arsenal_2000,1
arsenal,2000,Lee Dixon,14,arsenal_2000,28
arsenal,2000,Julian Gray,619,arsenal_2000,0
arsenal,2000,Gilles Grimandi,10,arsenal_2000,27
arsenal,2000,Thierry Henry,29,arsenal_2000,26
arsenal,2000,Stephen Hughes,2319,arsenal_2000,1
arsenal,2000,Nwankwo Kanu,21,arsenal_2000,24
